url,status
https://gooоle.com/login,danger
https://9DrliN.xyz/OA9x14.bat,danger
https://zPoBrU.cf/oo7W4m.msi,danger
https://4o3QJq.ml/QrHOl0.apk,danger
https://vl.com/verify,danger
https://Lm4IWx.gq/Otw2CX.msi,danger
https://x9IwiL.cf/FciuDC.vbs,danger
https://vti.ru/signin,danger
whatsapp://send?phone=79005013881&text=Bonus%2010476,suspicious
https://avito.ru/catalog,safe
whatsapp://send?phone=79006649331&text=Urgent%20payment%20required,suspicious
https://qr.nspk.ru/BD100015S43DMVH01JB9CKJL8V8Q1TU9?type=01&bank=100000000222,safe
https://nOng0w.top/roAIVM.msi,danger
https://ow.ly/gJZOGR,suspicious
https://goo.gl/ejsqwa,suspicious
sber://transfer?account=79004680529&sum=150000&comment=refund,suspicious
https://government.ru,safe
whatsapp://send?phone=79005526432&text=Click%20to%20get%20gift,suspicious
https://Y5Slj9.cf/Etb6F7.exe,danger
https://pfr.gov.ru/login,safe
https://xn--v-ttb.com/auth,danger
https://qr.nspk.ru/BD100023S43DMVH01JB9CKJL8V8Q1TU9?type=01&bank=100000000111,safe
https://instagram.com,safe
https://gosus6ugi.ru/secure,danger
https://market.yandex.ru/promo,safe
https://vtb.ru/accounts,safe
https://mail.ru/profile,safe
whatsapp://send?phone=79005627467&text=Claim%20your%20prize%20now,suspicious
bank://payment?receiver=79000739064&amount=40000,suspicious
sber://transfer?account=79003279642&sum=75000&comment=refund,suspicious
https://market.yandex.ru,safe
https://qr.nspk.ru/BD100025S43DMVH01JB9CKJL8V8Q1TU9?type=01&bank=100000000111,safe
https://sbоrbank.ru/login,danger
https://JXHwmh.xyz/1GNLLK.scr,danger
https://raiffeisen.ru/help,safe
https://nalog.gov.ru/documents,safe
https://gpPkLI.xyz/QyU7Aa.scr,danger
https://еosuslugi.ru/secure,danger
ton://transfer?address=EQNcYxW5u2A5hVU05NNdGtJuRjP98UJfAWjuDUHqyARVDmyJ&amount=200,suspicious
https://alfabank.ru/offers,safe
https://rshb.ru/help,safe
https://open.ru/offers,safe
https://market.yandex.ru/account,safe
https://tinyurl.com/XKyp8K,suspicious
https://lamoda.ru/catalog,safe
https://eldorado.ru/support,safe
ton://transfer?address=EQ3Ma5FDEkUturFIxYeBJfEt8UbzcIZX7N3IOCvZY0uVLSwC&amount=10,suspicious
https://BquKJq.ga/QdhtzF.msi,danger
https://bq9Ew6.cf/lKxVsp.apk,danger
ton://transfer?address=EQqx0XOXhRd6jzKXQlxwbQZ8i5hzcqtRQVJJ8PuGRfPpvPx0&amount=1000,suspicious
https://wJC8i2.ml/t9SGVZ.apk,danger
bank://payment?receiver=79001836652&amount=30000&reason=prize,suspicious
https://fss.gov.ru/services,safe
https://alfa1ank.ru/signin,danger
https://citilink.ru/support,safe
https://vk.com/news,safe
https://alfabaak.ru/account,danger
https://facebook.com/login,safe
https://nalog.gov.ru/news,safe
sberpay://pay?account=79000832798&amount=50000&message=urgent,suspicious
https://gazprombank.ru/settings,safe
https://wikipedia.org/profile,safe
https://va.com/account,danger
https://kremlin.ru/payment,safe
https://ow.ly/r?url=http://tinkoff-app.ga/auth,danger
https://gooele.com/auth,danger
https://tinloff.ru/secure,danger
sber://transfer?account=79005572089&sum=100000&comment=prize,suspicious
https://yandex.ru/search,safe
https://jMPqPE.cf/znFvgQ.vbs,danger
https://tinkoff.ru,safe
https://lail.ru/auth,danger
https://xn--sbrbank-8gg.ru/online,danger
https://sborbank.ru/secure,danger
https://gosuslugi.ru/faq,safe
https://mvideo.ru/checkout,safe
https://Ojgpkj.top/OkVEUV.bat,danger
https://ok.ru/news,safe
https://alfabaеk.ru/secure,danger
https://qr.nspk.ru/BD100013S43DMVH01JB9CKJL8V8Q1TU9?type=01&bank=100000000111,safe
https://iail.ru/verify,danger
https://vk.com/login,safe
https://rosreestr.gov.ru/support,safe
https://mvideo.ru,safe
https://qr.nspk.ru/BD100016S43DMVH01JB9CKJL8V8Q1TU9?type=01&bank=100000000111,safe
https://g0ogle.com/login,danger
sber://transfer?account=79007304327&sum=5000,suspicious
https://xn--lfabank-1fg.ru/online,danger
https://aoogle.com/signin,danger
https://avito.ru/moskva/elektronika?s=104&q=iphone,safe
https://rshb.ru/cards,safe
https://yanlex.ru/secure,danger
https://veb.ru/auth,danger
https://qr.nspk.ru/BD100002S43DMVH01JB9CKJL8V8Q1TU9?type=01&bank=100000000111,safe
https://vi.com/verify,danger
https://googoe.com/auth,danger
https://tiokoff.ru/verify,danger
https://dns-shop.ru/checkout,safe
https://raiffeisen.ru/settings,safe
bank://payment?receiver=79008893931&amount=50000&reason=gift,suspicious
